# Engage CRC32 hash -> bone path map
# Format: <hash_hex_8>	<bone_path>
# Generated from uRig prefabs (extracted from Engage) + 1 stray bone
6CE9DA84	c_trans
1DF43840	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt/c_sprsktB3_jnt
A0F7BC02	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt/c_sprsktB3_jnt/c_sprsktB4_jnt
32BE0B63	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt/c_sprsktB3_jnt/c_sprsktB4_jnt/c_sprsktB5_jnt
360D36F2	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt/c_sprsktB3_jnt/c_sprsktB4_jnt/c_sprsktB5_jnt/c_sktB6_jnt
8240DA2E	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt/c_sprsktB3_jnt/c_sprsktB4_jnt/c_sprsktB5_piv
10096D4F	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt/c_sprsktB3_jnt/c_sprsktB4_piv
AD0AE90D	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_jnt/c_sprsktB3_piv
7AF27E93	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_jnt/c_sprsktB2_piv
59680420	c_trans/c_hip_jnt/c_mngsktB_jnt/c_sprsktB1_piv
22E53B3E	c_trans/c_hip_jnt/c_skirtA_jnt
654541EE	c_trans/c_hip_jnt/c_skirtB_jnt
9D5620D9	c_trans/c_hip_jnt/c_spine1_jnt
D2908BBF	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt
DED5A698	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt
570E78DB	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt
178C9A44	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt/c_sprfrlA2_jnt
6A149C57	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt/c_sprfrlA2_jnt/c_sprfrlA3_jnt
81622E7D	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt/c_sprfrlA2_jnt/c_sprfrlA3_jnt/c_sprfrlA4_jnt
008D4FF3	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt/c_sprfrlA2_jnt/c_sprfrlA3_jnt/c_sprfrlA4_jnt/c_frlA5_jnt
319CFF30	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt/c_sprfrlA2_jnt/c_sprfrlA3_jnt/c_sprfrlA4_piv
DAEA4D1A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt/c_sprfrlA2_jnt/c_sprfrlA3_piv
A7724B09	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_jnt/c_sprfrlA2_piv
E7F0A996	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/c_sprfrlA1_piv
019ACC2D	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt
1DA2E2AD	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt/l_sprfrlA2_jnt
3CD288C1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt/l_sprfrlA2_jnt/l_sprfrlA3_jnt
EEB30677	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt/l_sprfrlA2_jnt/l_sprfrlA3_jnt/l_sprfrlA4_jnt
761497C4	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt/l_sprfrlA2_jnt/l_sprfrlA3_jnt/l_sprfrlA4_jnt/l_frlA5_jnt
5E4DD73A	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt/l_sprfrlA2_jnt/l_sprfrlA3_jnt/l_sprfrlA4_piv
8C2C598C	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt/l_sprfrlA2_jnt/l_sprfrlA3_piv
AD5C33E0	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_jnt/l_sprfrlA2_piv
B1641D60	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlA1_piv
870EBE83	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt
E02812E0	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt/l_sprfrlB2_jnt
A5B80372	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt/l_sprfrlB2_jnt/l_sprfrlB3_jnt
F2EB9F30	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt/l_sprfrlB2_jnt/l_sprfrlB3_jnt/l_sprfrlB4_jnt
F616031D	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt/l_sprfrlB2_jnt/l_sprfrlB3_jnt/l_sprfrlB4_jnt/l_frlB5_jnt
42154E7D	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt/l_sprfrlB2_jnt/l_sprfrlB3_jnt/l_sprfrlB4_piv
1546D23F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt/l_sprfrlB2_jnt/l_sprfrlB3_piv
50D6C3AD	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_jnt/l_sprfrlB2_piv
37F06FCE	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/l_sprfrlB1_piv
ACB3A5C1	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt
09FE137F	c_trans/c_hip_jnt/c_spine1_jnt/c_spine1vol_jnt/c_mngfrl_jnt/r_sprfrlA1_jnt/r_sprfrlA2_jnt
